Sentence No.	TF-ISF Score
Sentence 1	0.0
Sentence 2	8.687610843707368
Sentence 3	16.276609398746626
Sentence 4	9.853362435213107
Sentence 5	19.23412045948042
Sentence 6	23.577925881334103
Sentence 7	22.412174289828368
Sentence 8	14.197167857066791
Sentence 9	10.54650961577305
Sentence 10	6.895851374479313
Sentence 11	16.276609398746626
Sentence 12	15.583462218186682
Sentence 13	6.2027041939193674
Sentence 14	28.61487848374773
Sentence 15	21.025879928708473
Sentence 16	11.932803976892941
Sentence 17	11.239656796332998
Sentence 18	20.33273274814853
Sentence 19	14.890315037626737
Sentence 20	11.932803976892941
Sentence 21	20.33273274814853
